Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x1044,Maki Shirakip,44,#F%$D@*&8,_______,2023-06-01
CUS_0x104e,Kentaros,50,837-93-5062,Teacher,2023-06-01
CUS_0x105c,Lopezz,4746,998-18-7252,Journalist,2023-06-01
CUS_0x10ee,Hudsonb,30_,699-80-2426,Journalist,2023-06-01
CUS_0x1136,Stevenk,22,894-06-9872,Entrepreneur,2023-06-01
CUS_0x1154,Jessica Wohlp,41,848-35-0776,Developer,2023-06-01
CUS_0x1156,Angela Moonq,25,877-50-9125,Entrepreneur,2023-06-01
CUS_0x119e,Rodrigol,38,498-27-0676,Mechanic,2023-06-01
CUS_0x128e,Leikam,19,827-28-8015,Mechanic,2023-06-01
CUS_0x1319,Casey Sullivany,47,#F%$D@*&8,Media_Manager,2023-06-01
CUS_0x1329,Richarda,50,525-33-6734,Entrepreneur,2023-06-01
CUS_0x142f,Langey,54,158-89-2902,Mechanic,2023-06-01
CUS_0x145c,Lewis Krauskopfu,5959,448-30-5081,Writer,2023-06-01
CUS_0x149e,Daveq,35,760-87-5470,Media_Manager,2023-06-01
CUS_0x14ca,Bosellip,29,348-82-9499,Teacher,2023-06-01
CUS_0x157a,Ben Klaymani,16,103-88-8332,Media_Manager,2023-06-01
CUS_0x1585,Kazunori Takadax,22,168-46-0002,Media_Manager,2023-06-01
CUS_0x1664,Noelv,30,415-68-9816,Developer,2023-06-01
CUS_0x166c,Longstrethl,41,422-62-7783,_______,2023-06-01
CUS_0x1698,Rosenp,19,622-91-3070,Media_Manager,2023-06-01
CUS_0x16a2,Liana B.g,24,073-14-2342,Musician,2023-06-01
CUS_0x16d9,Matt Scuffhamw,41,931-50-1049,Writer,2023-06-01
CUS_0x1766,raden Reddalld,14,751-67-7414,Teacher,2023-06-01
CUS_0x17e0,Silvia Antonioliq,31,739-05-3714,Lawyer,2023-06-01
CUS_0x17ef,Chucky,21,339-70-9719,Journalist,2023-06-01
CUS_0x17fe,Santaa,30,770-45-7126,Developer,2023-06-01
CUS_0x1810,Mangank,36,759-35-3427,Developer,2023-06-01
CUS_0x18c5,Gabriel Debenedettio,38,383-85-3208,Lawyer,2023-06-01
CUS_0x18c6,Christopherm,42,719-44-4102,Engineer,2023-06-01
CUS_0x1972,Alistairp,30,888-62-8786,Engineer,2023-06-01
CUS_0x199a,Robin Emmottw,25,047-50-4290,Musician,2023-06-01
CUS_0x1a2a,arani Krishnanm,26,227-46-3036,Architect,2023-06-01
CUS_0x1a2f,Lorrainey,54,894-09-8608,Journalist,2023-06-01
CUS_0x1a4a,Paul Taylorj,41,759-42-2499,Developer,2023-06-01
CUS_0x1aa4,Michelle Sierrae,42,404-72-1681,Doctor,2023-06-01
CUS_0x1aee,Klaymanp,26,065-68-6043,Accountant,2023-06-01
CUS_0x1bbb,Carrick Mollenkampj,26,571-52-6747,Musician,2023-06-01
CUS_0x1c1a,Jason Sublerv,38,049-65-5834,Accountant,2023-06-01
CUS_0x1c99,Andreas Rinken,26,118-02-3131,Engineer,2023-06-01
CUS_0x1ca9,David Ingramd,30,044-46-7121,Manager,2023-06-01
CUS_0x1cdb,Deepaa,21,615-06-7821,Developer,2023-06-01
CUS_0x1d6f,Polansekj,18,197-05-2509,_______,2023-06-01
