Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x10ac,Zhouy,29,780-50-4730,Developer,2024-08-01
CUS_0x10c5,Moony,24,041-74-6785,_______,2024-08-01
CUS_0x1145,Blenkinsopr,24,426-31-9194,Teacher,2024-08-01
CUS_0x11ac,Liana B.v,26_,835-92-7751,Journalist,2024-08-01
CUS_0x122c,Papadimasf,48,883-73-9594,Entrepreneur,2024-08-01
CUS_0x1274,Whited,5656,298-61-0480,Scientist,2024-08-01
CUS_0x1288,Taylorq,34_,609-85-2725,Doctor,2024-08-01
CUS_0x12cc,Lauren Tarat,30,761-36-5969,Developer,2024-08-01
CUS_0x1338,Olivia Orang,40,250-62-9181,_______,2024-08-01
CUS_0x1370,Rothackerb,32,710-06-0138,Writer,2024-08-01
CUS_0x1378,Alan Wheatleyx,15,674-69-0430,Mechanic,2024-08-01
CUS_0x139b,Chen Aizhuk,46,346-99-5140,Scientist,2024-08-01
CUS_0x13a9,Saprud,46,920-85-0637,Manager,2024-08-01
CUS_0x13ce,rax,52,396-50-4794,Manager,2024-08-01
CUS_0x147a,Chriss,20,947-32-0844,Writer,2024-08-01
CUS_0x1510,Slatert,27,847-73-6303,Doctor,2024-08-01
CUS_0x1572,Martin Pettys,39,031-16-3010,Engineer,2024-08-01
CUS_0x159b,Thatcheri,35,437-45-4869,Architect,2024-08-01
CUS_0x15f1,Peter Rudegeairj,33,097-15-4981,_______,2024-08-01
CUS_0x1621,Nickr,41,470-60-1304,Writer,2024-08-01
CUS_0x1638,Langeu,28,419-04-0207,Lawyer,2024-08-01
CUS_0x165b,Karolina Tagarist,23,639-95-8108,Mechanic,2024-08-01
CUS_0x1890,"""""""Johnt""",26,765-48-3540,Lawyer,2024-08-01
CUS_0x18f5,Motsoenengi,54,169-46-3515,Accountant,2024-08-01
CUS_0x1900,Strupczewskix,26,534-19-8100,Accountant,2024-08-01
CUS_0x1947,Casey Sullivans,56,715-00-9807,Engineer,2024-08-01
CUS_0x194f,Rodrigo Camposw,44,254-39-4934,_______,2024-08-01
CUS_0x19a5,Rickp,27_,#F%$D@*&8,Doctor,2024-08-01
CUS_0x1a06,Laum,34,#F%$D@*&8,Manager,2024-08-01
CUS_0x1a3b,Victoria Thiebergerh,16,173-00-2847,Entrepreneur,2024-08-01
CUS_0x1a57,allo,52,185-32-4152,_______,2024-08-01
CUS_0x1a96,Sinead Carewi,50_,405-79-5399,Media_Manager,2024-08-01
CUS_0x1ad3,Michael Ermanl,35,056-35-3142,Scientist,2024-08-01
CUS_0x1bfd,Dougs,40_,882-93-1200,Writer,2024-08-01
CUS_0x1c2a,Pault,45_,473-13-5730,Accountant,2024-08-01
CUS_0x1c3a,Finnt,32_,298-29-8622,Accountant,2024-08-01
CUS_0x1d58,Cheel,20,832-91-7166,Mechanic,2024-08-01
CUS_0x1e16,Katharina Bartt,53,443-08-6028,Journalist,2024-08-01
CUS_0x1e3f,Alisons,22_,683-10-1309,Architect,2024-08-01
CUS_0x1e62,Raghavanc,33,495-51-7258,Journalist,2024-08-01
CUS_0x1ed6,Axel Threlfalls,25,073-04-2832,Musician,2024-08-01
CUS_0x1f61,Zinetsn,23,183-78-9102,Lawyer,2024-08-01
CUS_0x20fa,Paul Arnoldi,31,882-01-5970,Engineer,2024-08-01
CUS_0x2194,McCranky,34,986-52-3729,Scientist,2024-08-01
CUS_0x2200,Leighy,45,932-35-5942,Musician,2024-08-01
CUS_0x2212,Nickv,16,787-94-7051,_______,2024-08-01
CUS_0x225a,Clara Ferreira-Marquesy,37,900-33-4232,Journalist,2024-08-01
CUS_0x22b1,Osamus,41,058-45-2550,_______,2024-08-01
CUS_0x22d6,Nadiaz,21,293-09-8968,Developer,2024-08-01
CUS_0x241d,Alexei Oreskovicw,24,642-46-2233,Teacher,2024-08-01
CUS_0x242d,rag,31,#F%$D@*&8,Doctor,2024-08-01
CUS_0x2449,Alexc,42,511-01-3852,Mechanic,2024-08-01
CUS_0x247e,Jenniferc,44,368-98-6866,_______,2024-08-01
CUS_0x24bc,Chuck Mikolajczakb,49,664-52-6558,Engineer,2024-08-01
CUS_0x2509,Jonesu,15,026-87-1097,Entrepreneur,2024-08-01
CUS_0x2516,Walterz,20,203-37-6938,Engineer,2024-08-01
CUS_0x2527,ewich Noelv,24,420-33-6964,Musician,2024-08-01
CUS_0x2562,Vladimiru,48,880-88-5689,Doctor,2024-08-01
CUS_0x2634,Eveline Danubratam,27,221-75-3766,Mechanic,2024-08-01
CUS_0x264a,Dhanyaa,35,893-00-6129,Doctor,2024-08-01
CUS_0x268d,Mikei,29,#F%$D@*&8,_______,2024-08-01
CUS_0x2692,Eva Kuehnenh,38,358-88-9676,Accountant,2024-08-01
CUS_0x269c,Fiona Lauu,27,100-45-1929,Teacher,2024-08-01
CUS_0x2827,Lisah,18,486-07-1289,Scientist,2024-08-01
CUS_0x2834,Dennyd,3640,533-04-5976,Scientist,2024-08-01
CUS_0x2869,Johna,54,249-57-7977,Journalist,2024-08-01
CUS_0x28e2,Lynchn,26,474-82-5027,Journalist,2024-08-01
CUS_0x29bf,Sakari Suoninens,22,600-61-7210,Writer,2024-08-01
CUS_0x29e9,Mutikaniv,39,499-31-6441,Teacher,2024-08-01
CUS_0x2a45,Alexx,19,021-52-4642,Architect,2024-08-01
CUS_0x2a46,Andreaa,32,295-98-3299,Writer,2024-08-01
CUS_0x2a8c,Saliou Sambj,45,180-05-9282,Doctor,2024-08-01
CUS_0x2a8f,Janel,26,381-55-9671,Media_Manager,2024-08-01
CUS_0x2abd,Paola Arosior,45,539-11-2283,Entrepreneur,2024-08-01
CUS_0x2ae8,Estelle Shirbonp,21,498-74-4915,Engineer,2024-08-01
CUS_0x2b7a,Myles Neligann,44,497-83-0932,Architect,2024-08-01
CUS_0x2ba1,Nate Raymondm,31,332-45-0857,Mechanic,2024-08-01
CUS_0x2ba4,Steve Slaterr,28,373-18-8417,Mechanic,2024-08-01
CUS_0x2bb5,Sophie Sassardm,29,766-17-4484,Architect,2024-08-01
CUS_0x2bdc,Greg Roumeliotisp,29,454-30-4171,Writer,2024-08-01
CUS_0x2bf7,Aldredz,45,700-96-0564,Accountant,2024-08-01
CUS_0x2c0a,Huww,45,280-99-6832,Doctor,2024-08-01
CUS_0x2c15,Rickf,17,389-41-3683,Developer,2024-08-01
CUS_0x2c98,Lawrence Whitez,30_,532-22-6497,Teacher,2024-08-01
CUS_0x2ce8,Steven C.r,30,598-78-9078,Manager,2024-08-01
CUS_0x2d5a,Axh,18,864-98-6255,Engineer,2024-08-01
CUS_0x2d6a,Jason Langes,25,195-30-6889,Journalist,2024-08-01
CUS_0x2da9,rian Groww,24,894-47-5302,Developer,2024-08-01
CUS_0x2dfd,"""""""Johnc""",53,860-87-9053,Journalist,2024-08-01
CUS_0x2e73,Uranakaj,45_,667-70-4413,Accountant,2024-08-01
CUS_0x2ef1,Evelinex,35,398-24-4172,Accountant,2024-08-01
CUS_0x2f86,Edward Tayloru,26,974-87-0253,Teacher,2024-08-01
CUS_0x2fc9,Halsz,52,276-80-1606,Doctor,2024-08-01
CUS_0x2fe7,Tomv,34,847-59-5093,_______,2024-08-01
CUS_0x3069,Matt Scuffhamj,41,916-30-5005,Manager,2024-08-01
CUS_0x3092,Ryan Vlastelicat,52,511-20-0282,Mechanic,2024-08-01
CUS_0x30ee,Charlie Zhuv,16,237-56-8072,Lawyer,2024-08-01
CUS_0x3182,Deyj,35,737-63-3468,Accountant,2024-08-01
CUS_0x319d,Aruna Viswanathay,35,309-93-6346,Lawyer,2024-08-01
CUS_0x31ef,Carolinei,21,044-22-3761,Writer,2024-08-01
CUS_0x31f8,Richwines,55,666-05-8845,Teacher,2024-08-01
CUS_0x32a5,"""""""John ODonnell""""f""",23,900-72-1051,Engineer,2024-08-01
CUS_0x32b1,Stevef,45,517-36-8021,Manager,2024-08-01
CUS_0x32e5,Ernesti,32,093-52-7956,_______,2024-08-01
CUS_0x334b,Crawleyv,34,118-34-1378,Teacher,2024-08-01
CUS_0x337d,Clara Ferreira-Marquesn,53,199-25-7327,Manager,2024-08-01
CUS_0x342a,Andreasm,34,566-11-2306,Lawyer,2024-08-01
CUS_0x3499,Leigh Thomasv,1388,816-30-7776,Architect,2024-08-01
CUS_0x3525,Greg Roumeliotist,24_,746-59-7879,Journalist,2024-08-01
CUS_0x35e4,Linda Siegw,38,643-80-3274,Entrepreneur,2024-08-01
CUS_0x35e9,Jessica Wohls,22,022-78-9607,_______,2024-08-01
CUS_0x3639,Sven Egenterd,17,452-14-9672,Accountant,2024-08-01
CUS_0x372e,Stempelh,33,914-17-7131,Developer,2024-08-01
CUS_0x37bf,Soyoungo,49,242-04-7296,Writer,2024-08-01
CUS_0x384c,David Henryp,42,813-91-8749,Scientist,2024-08-01
CUS_0x3855,Xolai,27,#F%$D@*&8,Scientist,2024-08-01
CUS_0x387a,Henryp,21,432-76-8859,Architect,2024-08-01
CUS_0x393f,David Henryh,15,834-67-8369,Musician,2024-08-01
CUS_0x396e,"""""""Eileene""",33,186-66-1832,Architect,2024-08-01
CUS_0x39b2,Valetkevitchv,29,215-58-5257,_______,2024-08-01
CUS_0x39bf,Luciar,34,945-83-2116,Scientist,2024-08-01
CUS_0x39ff,Pedrox,31,248-94-4825,Manager,2024-08-01
CUS_0x3a3a,Ayaic,53,661-86-5423,Lawyer,2024-08-01
CUS_0x3afb,Pascal Fletcherw,52,612-21-7903,Engineer,2024-08-01
CUS_0x3b37,Dashaq,21,#F%$D@*&8,Accountant,2024-08-01
CUS_0x3b90,Swati Bhata,24,699-86-7977,Writer,2024-08-01
CUS_0x3bc5,ernie Woodallv,26,144-98-8454,Developer,2024-08-01
CUS_0x3c24,Hutchisonx,32,654-90-4605,Musician,2024-08-01
CUS_0x3c39,Jonathan Stempelb,15,874-82-1264,Developer,2024-08-01
CUS_0x3c97,Tetsushiz,45,#F%$D@*&8,Journalist,2024-08-01
CUS_0x3db1,Timz,44,091-80-2935,Journalist,2024-08-01
CUS_0x3e10,Petery,35,980-19-8289,Entrepreneur,2024-08-01
CUS_0x3e74,Dann,36,477-79-0846,Scientist,2024-08-01
CUS_0x3e89,Alistairx,25,598-55-8096,Media_Manager,2024-08-01
CUS_0x3ec7,Kumarm,37,274-10-1233,Media_Manager,2024-08-01
CUS_0x3f1,Edd,23,891-06-2189,Accountant,2024-08-01
CUS_0x3f27,Julien Toyerp,54,042-79-0167,Lawyer,2024-08-01
