Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x107e,Lianaj,15,463-69-6790,Architect,2024-11-01
CUS_0x10b3,Johnsona,48,293-45-3004,Mechanic,2024-11-01
CUS_0x10df,Paritosh Bansalo,27,279-20-3097,Musician,2024-11-01
CUS_0x10e7,Carewj,3843_,094-89-6380,_______,2024-11-01
CUS_0x1144,Douwet,42,720-70-0565,Doctor,2024-11-01
CUS_0x1152,Gellerv,29,330-02-2598,Accountant,2024-11-01
CUS_0x11ae,Xiaoyi Shaou,22,032-97-5902,Architect,2024-11-01
CUS_0x1231,James Reganc,39,780-20-7811,Journalist,2024-11-01
CUS_0x126d,Brownj,36,047-21-1235,Architect,2024-11-01
CUS_0x127d,McCoolg,43,829-08-2773,Doctor,2024-11-01
CUS_0x1298,Melg,49,779-78-0153,Lawyer,2024-11-01
CUS_0x12a4,Thomas Ferraroz,24,694-31-4893,Mechanic,2024-11-01
CUS_0x138d,"""ODonnell""""d""",39,568-44-1961,Mechanic,2024-11-01
CUS_0x13fb,Umeshc,22,995-80-1416,Doctor,2024-11-01
CUS_0x1535,Reganv,22,600-38-3364,Musician,2024-11-01
CUS_0x1551,Kyle Petersonm,28,210-96-9043,Entrepreneur,2024-11-01
CUS_0x158e,Rodrigoo,34,208-03-8186,Writer,2024-11-01
CUS_0x15a9,Petery,39,827-07-8942,Writer,2024-11-01
CUS_0x174b,Mutikanic,30,942-42-9612,Writer,2024-11-01
CUS_0x178d,Luciad,50,646-17-2843,Scientist,2024-11-01
CUS_0x1799,Raymondk,47,069-90-4166,Mechanic,2024-11-01
CUS_0x1835,Jeffrey Hellerw,18,013-26-5726,Doctor,2024-11-01
CUS_0x1837,Kazunori Takadab,36,600-87-2067,Musician,2024-11-01
CUS_0x1897,Hirschlers,34,173-54-8322,Manager,2024-11-01
CUS_0x1929,Rickw,29,395-44-7800,Engineer,2024-11-01
CUS_0x199b,Alister Bullf,42,445-42-3539,Architect,2024-11-01
CUS_0x1a7b,Nathan Layneb,32,079-59-6325,Entrepreneur,2024-11-01
CUS_0x1b1a,Michaeli,8669_,025-91-0217,Accountant,2024-11-01
CUS_0x1b7e,Siddharth Cavalek,36,780-20-7356,Writer,2024-11-01
CUS_0x1bac,Wolfo,1220,469-12-4672,_______,2024-11-01
CUS_0x1c34,Kirstin Ridleyl,26,184-30-9439,Teacher,2024-11-01
CUS_0x1ce1,Clarap,24,245-22-1682,Engineer,2024-11-01
CUS_0x1dd9,ernard Vaughana,46_,634-25-7796,Architect,2024-11-01
CUS_0x1df1,Barberm,31,#F%$D@*&8,Mechanic,2024-11-01
